Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
33121747,The Barefoot Investor: The Only Money Guide You'll Ever Need,Scott Pape,"Pape, Scott",,"=""""","=""""",4,4.39,Wiley,Kindle Edition,298,2019,2016,,2023/12/09,to-read,to-read (#302),to-read,,,,0,0
60644838,When McKinsey Comes to Town,Walt Bogdanich,"Bogdanich, Walt",Michael Forsythe,"=""1847926258""","=""9781847926258""",0,3.80,Doubleday,Hardcover,368,2022,2022,,2023/12/13,to-read,to-read (#305),to-read,,,,0,0
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,"=""0671015206""","=""9780671015206""",0,4.07,Gallery Books,Paperback,258,1998,1995,,2023/12/11,to-read,to-read (#304),to-read,,,,0,0
48829,Affluenza: The All-Consuming Epidemic,John De Graaf,"Graaf, John De","David Wann, Thomas H Naylor, David Horsey","=""1576753573""","=""9781576753576""",0,3.77,Berrett-Koehler Publishers,Paperback,288,2005,2001,,2023/12/10,to-read,to-read (#303),to-read,,,,0,0
40591670,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,"Sethi, Ramit",,"=""1523505745""","=""9781523505746""",4,4.17,Workman Publishing Company,Paperback,352,2019,2009,2023/12/08,2023/11/07,,,read,"75% worthwhile, 25% cringe",,,1,0
3344411,Every Man Dies Alone,Hans Fallada,"Fallada, Hans","Michael Hofmann, Geoff Wilkes","=""1933633638""","=""9781933633633""",0,4.25,Melville House,Hardcover,543,2009,1947,,2023/04/28,currently-reading,currently-reading (#12),currently-reading,,,,1,0
21913812,This Changes Everything: Capitalism vs. The Climate,Naomi Klein,"Klein, Naomi",,"=""1451697384""","=""9781451697384""",0,4.16,Simon & Schuster,Hardcover,576,2014,2014,,2023/11/28,currently-reading,currently-reading (#11),currently-reading,,,,1,0
61403412,Philosophy and Life,A.C. Grayling,"Grayling, A.C.",,"=""024152380X""","=""9780241523803""",0,4.09,VIKIN,Paperback,0,2023,,,2023/05/04,currently-reading,currently-reading (#10),currently-reading,,,,1,0
759517,Hard to Be a God,Arkady Strugatsky,"Strugatsky, Arkady",Boris Strugatsky,"=""0816491216""","=""9780816491216""",0,4.14,Seabury Press,Hardcover,219,1973,1964,,2023/11/25,to-read,to-read (#301),to-read,,,,0,0
36050112,On not being a Philosopher,Robert Lynd,"Lynd, Robert",,"=""""","=""""",0,5.00,,,,,,,2023/11/24,to-read,to-read (#300),to-read,,,,0,0
61242234,"Rooted: Stories of Life, Land and a Farming Revolution",Sarah Langford,"Langford, Sarah",,"=""024199182X""","=""9780241991824""",0,4.48,Penguin,Paperback,336,2023,,,2023/10/21,currently-reading,currently-reading (#9),currently-reading,,,,1,0
7017642,More Wealth From Residential Property,Jan Somers,"Somers, Jan",,"=""0958567255""","=""9780958567251""",0,3.70,Somerset Financial Services,Paperback,256,2001,,,2023/11/17,currently-reading,currently-reading (#8),currently-reading,,,,1,0
48176,Under Fire,Henri Barbusse,"Barbusse, Henri","Robin Buss, Fitzwater Wray, Jay Murray Winter, J. Winter","=""0143039040""","=""9780143039044""",0,3.85,Penguin Classics,Paperback,318,2004,1916,,2020/06/30,to-read,to-read (#299),to-read,,,,0,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",4,4.35,Harriman House,Paperback,252,2020,2020,2023/11/16,2023/10/05,,,read,"Short and sweet, sensible ""advise"" and probably an attitude the investment world could do more of.",,,1,0
55298403,Against White Feminism: Notes on Disruption,Rafia Zakaria,"Zakaria, Rafia",,"=""1324006617""","=""9781324006619""",0,4.31,W. W. Norton & Company,Hardcover,256,2021,2021,,2023/11/16,to-read,to-read (#298),to-read,,,,0,0
402217,Gestalt Therapy: Excitement and Growth in the Human Personality,Frederick Salomon Perls,"Perls, Frederick Salomon","Ralph F. Hefferline, Paul Goodman","=""0285626655""","=""9780285626652""",0,4.08,Souvenir Press,Paperback,,1994,1951,,2023/11/16,to-read,to-read (#297),to-read,,,,0,0
34449,The Makioka Sisters,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō",Edward G. Seidensticker,"=""0679761640""","=""9780679761648""",0,4.04,Vintage,Paperback,530,1995,1948,,2023/11/16,to-read,to-read (#296),to-read,,,,0,0
28256439,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"Wohlleben, Peter","Tim Flannery, Jane Billinghurst, Suzanne Simard","=""1771642483""","=""9781771642484""",0,4.07,Greystone Books,Hardcover,272,2016,2015,,2023/11/16,to-read,to-read (#295),to-read,,,,0,0
13644288,"Tasmanian Aborigines, A History Since 1803",Lyndall Ryan,"Ryan, Lyndall",,"=""1742370683""","=""9781742370682""",0,4.21,Allen and Unwin,Paperback,418,2012,2012,,2023/11/16,to-read,to-read (#294),to-read,,,,0,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,4.25,Harper Business,Paperback,623,2006,1949,,2023/11/14,to-read,to-read (#293),to-read,,,,0,0
52962238,Principles For Dealing With the Changing World Order: Why Nations Succeed and Fail,Ray Dalio,"Dalio, Ray",,"=""1982160276""","=""9781982160272""",4,4.29,Avid Reader Press / Simon & Schuster,Hardcover,576,2021,2021,2023/11/14,2023/10/05,,,read,"4.5<br/>The first time I've appreciated and learnt macroeconomics <br/>Interesting but biased information on indicators of internal and external conflict<br/>An economist's perspective on politics, history and finance",,,1,0
31125556,Destined for War: Can America and China Escape Thucydides’s Trap?,Graham Allison,"Allison, Graham",,"=""0544935276""","=""9780544935273""",0,4.21,Houghton Mifflin Harcourt,Hardcover,384,2017,2017,,2023/11/12,to-read,to-read (#292),to-read,,,,0,0
55666294,Attention Factory: The Story of TikTok & China’s ByteDance,Matthew  Brennan,"Brennan, Matthew",,"=""""","=""9798694483292""",3,4.17,Independently published,Paperback,304,2020,,2023/11/05,2023/10/08,,,read,"3.5<br/>Started off saucy, suggesting a revealing story on tiktoks rise to fame but quickly levelled out to a lukewarm description on the business and its founders.",,,1,0
25776132,The Brain: The Story of You,David Eagleman,"Eagleman, David",,"=""1101870532""","=""9781101870532""",0,4.26,Pantheon,Hardcover,224,2015,2015,,2023/11/04,to-read,to-read (#291),to-read,,,,0,0
