title,author,googleid,goodreads_id,start date,end date,read status,rating,pages
"Rooted: Stories of Life, Land and a Farming Revolution",Sarah Langford,5MqMEAAAQBAJ,61242234,2023/10/21,,currently-reading,0,336.0
Man and His Symbols,C.G. Jung,DkGwngEACAAJ,123632,2023/07/16,,currently-reading,0,415.0
The Hero With a Thousand Faces,Joseph Campbell,I1uFuXlvFgMC,588138,2023/01/04,,currently-reading,0,416.0
Every Man Dies Alone,Hans Fallada,FR6pDwAAQBAJ,3344411,2023/04/28,,currently-reading,0,543.0
This Changes Everything: Capitalism vs. The Climate,Naomi Klein,Vh9ICgAAQBAJ,21913812,2023/11/28,,currently-reading,0,576.0
Philosophy and Life,A.C. Grayling,4wB1rpM3aHIC,61403412,2023/05/04,,currently-reading,0,0.0
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,TMnuNquN2RgC,31555,2023/10/05,,currently-reading,0,352.0
The Way of the World by Nicholas Bouvier (1994-01-01),Nicolas Bouvier,,129818319,2023/10/10,,currently-reading,0,0.0
More Wealth From Residential Property,Jan Somers,26bNAAAACAAJ,7017642,2023/11/17,,currently-reading,0,256.0
DJ Culture: Diskjockeys und Popkultur,Ulf Poschardt,btl8rgEACAAJ,62031986,2023/07/30,,currently-reading,0,0.0
"Love and Freedom: Transcending Monogamy and Polyamory (Diverse Sexualities, Genders, and Relationships)",Jorge N. Ferrer,wT0yEAAAQBAJ,57646688,2023/06/27,,currently-reading,0,212.0
An Artist of the Floating World,Kazuo Ishiguro,mmHhWgrCWygC,28922,2022/04/27,,currently-reading,0,206.0
Keep the Aspidistra Flying,George Orwell,IcqPEAAAQBAJ,9648,2021/05/03,,read,4,297.0
The Doors of Perception / Heaven and Hell,Aldous Huxley,h5mMb-Jbxq4C,5128,2022/01/05,2022/03/09,read,4,187.0
The Thin Red Line,James Jones,weWKAwAAQBAJ,92417,2020/06/30,2022/03/09,read,3,475.0
1984,George Orwell,kotPYEqx7kMC,40961427,2020/06/30,,read,5,298.0
Women,Charles Bukowski,nTvAJFBpuvYC,38500,2023/04/23,2023/05/03,read,3,291.0
