title,author,googleid,goodreads_id,start date,end date,read status,rating,pages,thumbnail_url
Keep the Aspidistra Flying,George Orwell,IcqPEAAAQBAJ,9648,2021/05/03,,read,4,297.0,http://books.google.com/books/publisher/content?id=IcqPEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE71K2aPULZoftJ0KH596DxuoQj1fO_jY706PeARNQtWh16efZ-INfOFIOAXtuvsio6Le8XM0vbkHowytX7-ANZPBp_47cBYZ3Yu6y1eHQpaLgcZUR7RqvDBdqnOLJJmR7PzXEGeq&source=gbs_api
The Doors of Perception / Heaven and Hell,Aldous Huxley,h5mMb-Jbxq4C,5128,2022/01/05,2022/03/09,read,4,187.0,http://books.google.com/books/content?id=h5mMb-Jbxq4C&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE70wkeG4gJ3rwwagyA5bIJpWsh9gAqiQbbpsksdKmVSTeJntUzEFVlli5HRBFMclcOqyGxEbfMfyZ5oMijWcr92NVxeCGQoG90htLXtwwuHmc1zJXFrd1N1Wt-fZaUF0-VSAihZv&source=gbs_api
The Thin Red Line,James Jones,weWKAwAAQBAJ,92417,2020/06/30,2022/03/09,read,3,475.0,http://books.google.com/books/publisher/content?id=weWKAwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE704NktX97DEyb9ZsQLfHOOTjl21RzzNqOjgYHQal1GhlqQJ3H27Cro1Dp2NAqd9_8-y-VX4xHaTEm_BhlRRGCFPg-Sy9qSvKbcKzuOIHWHd5DEGdoaEg1cv2_ucmaO1dOA2SOeK&source=gbs_api
1984,George Orwell,kotPYEqx7kMC,40961427,2020/06/30,,read,5,298.0,http://books.google.com/books/content?id=kotPYEqx7kMC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72vRO9ZhH2k8X3y2SKqSn7LYtULcufU1ic-X6XQ3be6rCA1i17TckUVaAd2pxfdJSM8Oz8rqDle_L3DiGGr4tBWJl93dQBZy_m7nPsCtuGXFY0knpIv1wnn5fhWokxOZYR3Tlid&source=gbs_api
Women,Charles Bukowski,nTvAJFBpuvYC,38500,2023/04/23,2023/05/03,read,3,291.0,http://books.google.com/books/content?id=nTvAJFBpuvYC&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE72cQazwz0wz8hIRrHowd5himbkYBp2Ii3rcgHu5VjqAy9hWoYZfaocSUlmGunr8quvOXmlD-dEy05WFKxL8g0iUwQfwiAEmGniYbJ_UCU4ssrFIKHjlla4KfBoJeNwqxqoGupYb&source=gbs_api
Tender Is the Night,F. Scott Fitzgerald,rq1VDwAAQBAJ,46164,2022/01/05,2022/02/07,read,3,430.0,http://books.google.com/books/publisher/content?id=rq1VDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73fgpqk1d1OMY5_JNLr61gS3WNCftfqMB1tIANwMbV3_4IcLessQGE5HrQxoM69Y1m4XEpep7bkpWuURYejZq-XTP6gF7fQbdmsi3-upQHr_QP_4jeDP-Pti92p7PWghsn8Zrmm&source=gbs_api
The Metamorphosis,Franz Kafka,CNadDwAAQBAJ,485894,2022/01/05,,read,3,201.0,http://books.google.com/books/publisher/content?id=CNadDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73WZ7BCEQSH27Iwsq2xybCcWukr8Ws_ZKdIlrXpb0IVl6xkUnjVpqH4tY7J3PZEweHRUwBl63gAzg1jn5vBjpgJYRQP3uk0N1INfujJmw6aYvu0MUVthlY7L6BRUxSXeVHCWvy3&source=gbs_api
The History of Philosophy,A.C. Grayling,bDJwDwAAQBAJ,41954426,2022/01/04,2022/01/16,read,5,704.0,http://books.google.com/books/publisher/content?id=bDJwDwAAQBAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE706Vo2M98RYO_lNq08Qbe5FwlYjyC1woS4ycuJuqKXXwVsaDNLCzR5jXtju9CodhT4S3SvO2TKYHuUuUajo3qMqsjVssdSdhGSDbjpnFh11YMeDA7OXi22MgHuTqrB2iKz9Gn-l&source=gbs_api
A Little Life,Hanya Yanagihara,FGPYzwEACAAJ,22822858,2022/02/09,2022/03/03,read,3,720.0,http://books.google.com/books/content?id=FGPYzwEACAAJ&printsec=frontcover&img=1&zoom=1&imgtk=AFLRE736c8LlYQCoyv6y58R95YlzKL5CCywkfHR9kc-Ttx2liZycpRS5VoYF0_7oOWo9JKxEC2Jn6h5aFszTnIsASsC2bBALYJPSGBDRCywzMrB9uXzBC3AQwN6mUHYuG3RFnjZGSEFe&source=gbs_api
Darkness at Noon,Arthur Koestler,AcGdAmm4_xcC,30672,2022/02/07,2022/03/15,read,3,216.0,http://books.google.com/books/content?id=AcGdAmm4_xcC&printsec=frontcover&img=1&zoom=1&edge=curl&imgtk=AFLRE73vY9th0qvmcGyrJdi2zWFIwrgRvMdNxnd3lQnmBYFhjPMJpNIA0hF1u0VR2YS61UNkwBBPcGabJJRGFHVyqRGooR9O0AygMuQXmrhqdK5H77r7O5VU5lT7cSPiitursyEFv9Cm&source=gbs_api
